,year,gini,extreme_poverty_rate,middle_poverty_rate,poverty_gap,polarization,mld,palma_ratio,mean,median,decile_ratio,clusters
110,2019,0.2924833284839236,0.0957287045603752,0.40095868258925,0.0351159227917088,0.2250450282215399,0.1533826223675388,1.072536885344237,62.71479775097816,54.41699497833299,7.1247944150319364,light purple
111,2014,0.4615629418573037,3.40828792119072,35.41704773582362,0.75596513363236,0.3708717945481964,0.3666358268666252,2.601133200133718,10.72315034176306,7.3905028741204974,18.83103762284502,dark purple
112,2018,0.372810448544046,41.35425170848051,91.75717114468114,11.33732251499535,0.2890027200765278,0.2284824341476397,1.639230022989511,2.8684757477502267,2.142134591198084,9.74014289835718,pink
113,2018,0.3512774279386329,39.08520868720246,92.02124306594912,12.46453398201098,0.3108436035755199,0.2054959817265504,1.4303353458310284,2.798742532170777,2.260831728394824,9.271737305566763,pink
114,2018,0.3296070245478671,3.39855634834071,17.91149045749383,1.22603578653018,0.2954888533728132,0.2130795745053773,1.240372143153752,12.037584071664496,10.908090501514446,11.39673040124797,light pink
115,2019,0.2774228333486965,0.15653396366021,0.51966039245319,0.13752850608396,0.2201289226733871,0.1451451981785788,0.9751019796031586,74.05884179586266,65.29984019712992,6.650860085391437,light purple
116,2018,0.2958926559759773,3.5883019034966,77.62482157569676,0.4299080560289199,0.22917760859316,0.1437911857523704,1.1222515729986573,4.628182023015062,3.788850780905248,6.048770452758828,pink
117,2016,0.3369004051320635,0.82804907841396,21.87809569306067,0.1296499328013899,0.3075216142454122,0.189898957710723,1.3136012092068166,10.862480378060438,8.97320889595096,8.693136383172472,light pink
118,2019,0.4983833602790184,1.00409953625112,12.07762033159313,0.35730963238181,0.4608381944113279,0.4566835678491645,3.247524099869333,33.49604988510779,21.85406090453206,31.884699044609015,light pink
119,2009,0.4185078829357139,39.68331191801053,90.20282059828644,15.68854978718254,0.3810107881713811,0.3073236918902304,2.058300615365102,3.4707556014011898,2.6180223724091656,16.581616183457236,pink
