,gini,extreme_poverty_rate,middle_poverty_rate,poverty_gap,polarization,mld,palma_ratio,mean,median,decile_ratio
3052,0.5336345081612023,8.51890075000453,44.8831421455127,3.1914594116104498,0.4978515744759154,0.5230187346519392,3.8625383322795,13.178304401634064,7.640721991240419,37.3373548987335
3053,0.4979346963664921,7.513952554115109,42.29656250839049,2.90294465050157,0.4667879472213924,0.4556368462628331,3.1956232894095096,12.595899552744385,8.004316546489045,30.380799236578405
3054,0.4850599010136336,7.310499781925831,43.15168120035442,2.58133801810811,0.4493325314781838,0.4238848368399361,2.947152526754891,12.136972784086549,7.8690650648032445,27.10167626484853
3055,0.4880443393926081,5.67820225797956,38.754715302679536,1.92710208459659,0.4493448512136592,0.4266728372205966,2.9936717659266097,13.432923722287908,8.657101915913206,26.38306551846001
3056,0.4587748191885761,4.66919769857314,34.689379677032726,1.7518289724123195,0.43526699996247,0.3824093338791157,2.550708146725584,13.875499849553554,9.539067125518304,22.934840449406554
3057,0.4612194087591218,4.46314475068565,31.459295820700977,1.5355931944383,0.4216864741866363,0.3855932097700713,2.605285822552807,14.782933433756591,10.31406489633905,23.62867225919093
3058,0.4686490305204818,3.24108939269616,31.22533250872088,1.03197242777149,0.4338356486574559,0.3874315169662121,2.688525842726407,15.29881028783089,10.239714097938924,22.005459075666817
3059,0.4499504956002738,2.63561087329155,27.60237886636901,0.8224603481416201,0.4030967611603155,0.3559800857660786,2.430984606803896,15.471024781178984,10.77040079861479,19.83387335888124
3060,0.4595429485500615,3.4400664606918903,28.798777755853948,1.23129977639281,0.4196396385990383,0.3776416554371926,2.5558812083336147,15.580119031149303,10.667512532858243,22.263656566191436
3061,0.4502006878134655,3.57502726561227,28.16440606537846,1.2485417072262002,0.4015794917371224,0.3628441536191329,2.434808651041985,15.25877947640247,10.725598989476472,21.518070929978403
3062,0.4467302953254211,3.21325306187558,27.069904702261027,1.05540502232838,0.3992334024733283,0.3565107346569192,2.3965139003483946,15.694720953363069,11.17466479771466,20.565937620276085
3063,0.454402995804359,3.31149068359195,27.849839022450567,1.01173296598361,0.4093601449999617,0.3670521945612225,2.4940087669128954,15.658377702032634,10.939678761305029,21.530572719915565
3064,0.4571153312670134,3.5835841686055603,29.7135532660689,1.09287307762425,0.4189876122709036,0.3723851262360924,2.534178032999069,15.380205300505994,10.678475495903408,21.61891242188319
3065,0.4731127413938529,6.51924512161938,34.621685899305845,2.0720523770115897,0.4275250138161794,0.4064879422306461,2.766270409720796,13.677037662176827,9.16335099931474,26.994707929908866
3066,0.3200394103414895,5.29458740234375,78.86615079439507,0.72682196355661,0.2553802751294951,0.1693378312116496,1.2610765545721476,5.539277102362895,4.493430581693632,6.945849854511577
3067,0.3012696030811703,3.03673828124999,81.84079141422592,0.41377127269209,0.2295590589668257,0.1546410192330027,1.1566150741270609,5.363062642591278,4.384439861214329,6.224358652126973
3068,0.3276150263867433,1.38301635742187,70.39386962890626,0.25232866967635,0.2409885658304842,0.1849845181879792,1.322902399293785,6.657772104525675,5.251187002191602,7.296479430544105
